Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
21931,2017,Emmanuel MACRON,Emmanuel MACRON,True
12112,2017,François FILLON,Emmanuel MACRON,False
2032,2017,Emmanuel MACRON,François FILLON,False
1291,2022,Emmanuel MACRON,Emmanuel MACRON,True
2405,2022,Emmanuel MACRON,Emmanuel MACRON,True
14556,2017,Emmanuel MACRON,Emmanuel MACRON,True
30078,2017,Marine LE PEN,Marine LE PEN,True
10542,2017,Emmanuel MACRON,Emmanuel MACRON,True
10544,2022,Emmanuel MACRON,Emmanuel MACRON,True
30260,2017,Marine LE PEN,Marine LE PEN,True
34298,2022,Marine LE PEN,Marine LE PEN,True
27225,2022,Marine LE PEN,Marine LE PEN,True
15539,2017,Emmanuel MACRON,Emmanuel MACRON,True
18058,2017,François FILLON,François FILLON,True
5832,2022,Emmanuel MACRON,Emmanuel MACRON,True
15071,2017,Marine LE PEN,Marine LE PEN,True
35118,2017,Marine LE PEN,Marine LE PEN,True
7121,2022,Marine LE PEN,Marine LE PEN,True
27339,2017,Marine LE PEN,Marine LE PEN,True
32317,2022,Emmanuel MACRON,Emmanuel MACRON,True
29978,2017,Marine LE PEN,Marine LE PEN,True
22036,2017,Marine LE PEN,Marine LE PEN,True
30192,2022,Emmanuel MACRON,Emmanuel MACRON,True
34001,2017,Marine LE PEN,Marine LE PEN,True
20430,2022,Marine LE PEN,Marine LE PEN,True
20778,2017,Marine LE PEN,Marine LE PEN,True
14396,2017,Marine LE PEN,Marine LE PEN,True
27493,2022,Emmanuel MACRON,Emmanuel MACRON,True
22252,2022,Marine LE PEN,Marine LE PEN,True
5639,2017,Marine LE PEN,Marine LE PEN,True
21284,2022,Marine LE PEN,Marine LE PEN,True
